,ratings,reviews
30,5,Fabulous!Poco m3 mobile products are good  i am happy Camara quality is good and battry  performance exillent Sound quality very good
31,4,DelightfulIt's a value for money product.. But if you r a photography Anthusiast then this phone is definitely not for you.. Pubg works fine so you can play games no doubt. Battery is awesome. I deducted 1star only because in this price segment we might find better phones from realme.
32,4,Very GoodFirst I say flikart very vast one day delivery I'm impressed. Phone nice colorCase also worthy. Battery backup nice. Camera not bad 👍(may be they any software updates it's get better performance). I'm vary happy with poco m3I'm satisfied value for money.
33,5,"ExcellentHi friends,,,this is really very nice mobile in this price segment,,, using after 1 week i wrote this review i like very much,,,,before I buy checked reviews some guy say it's average mobile ,,,but it's really nice ,,,battery is super 1 full day easily come,,,mobile performance speed also very good,,,,nice display,,,,but the camera is average also not bad,,,,so I really said ,,,guys thinking in this price range surely go for it ,,,,thanks flipkart"
34,3,"Does the jobThe phone looks like very good and also i liked the MI Launcher very much. But, other thinks are average.I didn't expect this type of camera, camera is very poor... The phone Heating is a big problem and also charger. When you plugged the charger for 1hour the heating of the charger looks like, you charged the charger for 10hour. Charger and phone heating is not normal.. I tell that you have to compare other phone at this price range(Narzo 20,MI 9 power) before you buy POCO M3"
35,3,"Decent productSelfie camera was 👎Respected buyers mobile outlook was fantastic , but if u want good camera quality don't buy these mobile..Camera quality was too low Don't buy if u look good camera mobile"
36,1,WorthlessPOCO M3 is good  phone  but it have a very cheapest display the colors of display  is very  bad many times  its display  gave the some  issues. It is not even  good for childrens.The processor ram and camera is very  good  but display  is very bad some time i touch any appp and its open other app
37,2,Not goodIf u are buying this phone seeing the 48 megapixel back camera dont buy this phone instead go for a phone which diacloses the sensor it uses (sony Or samsung). This phone has the worst selfie cameraThe good feature it has is u get 2 speaker one at top and the other at bottom which gives u a surround sound effect. A 18watt fast charger and the finger print on the power button
38,1,Don't waste your moneyHorrible phoneWhy? 1-It heat up while charging and playing games2- Phone sensitive very less 3- there's no hands free call in game turbo so it's a pain in the neck when call came while playing games4- 4GB ram works faster than this pathetic 6GB ram5- you cannot tap forward or backward while watching YouTube but have to drag the player every time which is disgusting6-  battery never last as how it mention in the specification (4000 mah is better )and to fully charge it took almost 4 hou...
39,4,"Pretty goodThis phone is best phone underr 11,000 according to price its battery, display and smoothness is best.Camera is not so good because it has 48 +2+2 camera setup but it not feels like that it feels like only 20Mp. Poco has to improve this camera quality issue.. But rest of all things are best.."
40,4,"DelightfulI find it very suitable for my needs and give me value for money. As I don't game in mobile and don't have any fascination with cameras I am OK with the camera performance and overall phone performance.Con: 1. Although 6000mAh battery, feels like 4500.2. The earpiece from where the sound comes out while talking over phone is not that loud. You have to use headphone for clear voices."
41,5,"Great productExcellent mobile at 11k with 6GB ram, 128 memory.Full HD display , smooth touch responseExcellent sound qualityLong battery back upNo lagging issue, smooth performance.Camera not upto the mark , rest all are good and well."
42,4,"Value-for-moneyReview after 40 days Best phone if u r more of a streaming user than a gaming user...!! I bought this for my father who only uses this for the basics, whatsapp & youtube..All i wanted was 128gb int., A big drainless battery with fast charger included & killer looks...Poco M3 provided these 3 within 11.5k is a pretty good deal..                 As i said if u r a mediocre user as above mentioned, this is best for u...Bt if u dont much care about looks & instead looking for something more ..."
43,4,"WonderfulAll things are good, very affordable price in 6GB RAM -128 STORAGE, My Son Happy with it, all game run in mobile .longer battery, and very fast response to open application -worth it- only camera performance average."
44,4,WonderfulDate of review: 11/05/2021(I bought 6gb/128gb varient which is recommended if you buy this mobile.  Lower varients varies with some hardware eg. storage type.If you can't break the budget line of 12k then today I can say that this is the best smartphone under 12k.If you can spend a minimum of thousand or more to buy a smartphone then it is not the best choice because better processors available at 13k smartphones.Pros:1. Best battery backup2. Only amoled display smartphone under 12k3. ...
45,4,Nice productUsed it for 1 month and got all the features described... I am happy with this phone and if you are a fan of playing games like Free fire you should buy it.... 😁
46,4,"Worth the moneyWriting after using for 10 days. -Comes with high quality silicone case inbox, its perfect, tight fitting and has a neat flip on cover for charging port (POCO M2 does not come with case). -22.5 charger is fast but also heavy & bulky (Mi 18 watt charger is much sleeker & lighter). -Battery life from its 6,000 mAh is great. Supports reverse charging but strangely we still get impure USB C cable & USB A charger, so one needs to buy & carry a pure USB C cable seperately. -Phone has good dece..."
47,3,Decent productThis product Better battery🔋 is Good nd only camera not good all are good
48,5,Worth every pennyOne of the best Smart Phone at this rate. I grabbed the best deal at this price.
49,4,Value-for-moneyGood mobile poco m3 pros. 6000 mah battery and and avarage weight. once word review ' value for money ' But  Ram not 6 Gb but its like 4.5 Gb.and also very very slow charging capacity 100% carved take  minimum 5/6 hours.        But over all good.                                Thank you so much flipkart.
50,3,"Just okayI'll give this mobile to 3.5  rating  because:1. Camera-- I had seen the comments during purchasing that many people told about its camera not good as expected by them. But one thing I want to remind them, if they want best camera quality like 64 Mp or more, then they will have to understand that 48Mp is good at this price base. So, my suggestion is that the Emptor will go buy regarding this price. Hence, I am giving 4 out of 5 star for Camera quality.2. Display---- Quality is best, I thi..."
51,5,Perfect product!Iam using this phone is 1week then i write a review.Thank you so much flipkart. This phone is use very nice and cemara is also good and Battery power is goodPerformance is good overall good phone
52,4,Value-for-moneyTwo biggest cons:- 1) This SD662 soc is not optimised by Xiaomi for MIUI. Poco launcher shucks bigtime. 2) Camera is pathetic. PROS:-1) Camera 2 api full support - Gcam does wonders.2) Install Nova launcher prime and feel the smoothness.3) Battery life is too good.4) Fast charger 22W provided in box though phone supports only 18W.
53,5,"Great productHi, I purchased POCO M3 on 20th feb 2021. I feel if you are looking for a good budget smartphone with 64/128 GB memory at an affordable price, then this is it. Camera is okay, I would say it's average, but other things like battery, memory storage and size, display are all good. I watched a few reviews from Gaurav choudhary-technical gurujii, geeky ranjit and others to name a few before going in for this phone. Value for money and without ads,"
54,4,Good quality productThe mobile is really good... And dont expect a bomblastic camare from poco but overall its a decent phone at this price battery is good performance is good...pubg works smoothly thanks for snapdragon 665
55,4,"Worth the moneyMy real review after 10 days of use-battery heat up more when it goes from 15 to 40 then normal heat up till 75. Then no heat up. Front camera is not good but ok, back is very good. It have many hidden Features. And remaining is normal. If you to want to buy you can get poco m3 6 gb ram Or 64storage at 9999 in a sale. As these days sale continue from 2 may to 7 may. All over it is a good phone under 10,000."
56,5,Just wow!Phone is really good and good features. Battery is very good. I use it whole day after charge it in morning. Camera quality is very good. Video is also very good
57,5,"Just wow!Well,this is a good budget smartphone in 10k. 1.The camera is awesome 2.The battery life is so good 3.The performance is nice4. The phone heats up little up when playing high ram consuming games like gangster Vegas but I love the game boost feature it instantly cleans up the phone when playing the game 5.Finally it is a very good phone to buy at 10k"
58,5,"Super!poco m3 is great phone in this price segment (Rs. 12000)pros : 6gb ram, 128gb rom, ufs 2.1 storage system which is fast for file transfer, sidemount fingerprint senser, SD 662 processor is enough for heavy gaming, 6000 mah huge battery lasts forever..! con : default camera is not good in low light conditions. but thanks to Gcam developers, Gcam works fine in this phone and you can take superb pictures with it. The only limitation of Gcam is you can take maximum 12mp pictures even though p..."
59,5,"WonderfulVery nice phone and the most best thing is that it is the best phone under 12000 whoever reads my coments, I suggests you to buy this phone by eyed closed. You cannot find such a good phone under 12k. Thanks."
60,4,"Worth the moneyConsidering the price, it's a very smart looking phone. Needed a phone for everyday use, and it does the job without any fuss. Need to install better sms apps though - google messaging is the default, and not very quick or easy to use"
61,5,WonderfulDetailed Review after 10 day usePros-Look is awesome and fresh. The yellow colour comes out as very vibrant. The screen display too is very good. Though slightly low in bright sunlight.-Performance wise it works pretty well. No lag or hanging issue seen while playing games or using heavy apps-Wifi and network speed is very good-Power bckup even after heavy usage is excellent.-Rear camera does the job for you and gives pretty decent pictures.-Face unlock and finger print unlock works fa...
62,5,Perfect product!Just awesome camera performance is good according to the priceAnd efficient processor to the daily use Quick finger print sensor that unlocks just at 0.25 secondsAnd efficient battery it lasts upto 2 days with the normal use display is also good  providing full hd+ displayAnd the UI is good but it comes with some bloatware but we can uninstall it the mobile comes with 6gb ram it can multitask easily the dual sterio speaker is so loud  Best mobile with all the specificationsDon't think y...
63,5,"Mind-blowing purchaseVery nyc device . Decent camera,good performance, very good display,value for money 🥰.I recommend you should buy this product . I am writing this review after 5days . No complaints . I am happy with this product .Thank you flipkart . 🥰🥰🥰"
64,4,"Pretty goodA very good mobile with bad camera. Everything is fine, the battery lasts atleast one day for any kind of user. Display is 1080p and at this price range is a real steal. Processor is Snapdragon 662 which is enough for most of gamers also. Starts with base model 6gb ram and 64 gb storage. The MIUI12 is good but still, there are some lags and frame drops only because of the UI. Coming to camera, this mobile has the worst front facing camera. It's completely useless in my opinion. And coming to ..."
65,4,"Very GoodGot this product on the first day first sale. Honestly speaking i am totally impressed by the design of this product. Phone is running on Android 10 with miui 12 .I gifted this device to my dad because it has a huge battery and a fast charger in the box.Overall the camera quality is decent not much great not that bad too.If you love to click pics mostly in outdoor then it's perfectly fine but in indoore usage ,camera sucks ."
66,3,NiceHi friend I am using Oppo M3 last one month and 15 days.😢 first of all I telling something about camera. camera is average below not good result as I expected to M3. 😊display- display is good to other phone if we mark 2 display is better than other 😀second one no heating issue in the phone 😀battery of the phone is good as I expect but 😂battery charging time is too much 🙄there is no fast charger in the box. it take 4 hour to full  charging time (0% to 100%).😢No auto call recording f...
67,5,"Must buy!It's the perfect buy considering the qualities like processor(Snapdragon), which is good for gaming n all at such a cheap price.Also camera quality is best at this price"
68,5,Highly recommendedSuper mobile with Super camera quality.  Fast and screen is too smooth. Very good mobile for 10k budget.  One thing is camera quality superLooking coolBattery come three daysSmooth screenGame wise asomeAll are good. Best mobile.
69,5,"Worth every pennyExcellent phone in this Price range. All most everything feature available in this phone which I would have been gotten in 17000 Price range phone. Like 6 GB RAM, 6000 mh battery, 42 megapixel triple camera, good processer, game booster, side fingerprint, fast charger, mobile cover also added. Overall this is the best feature phone available in this Price range."
70,4,"DelightfulI am writing review after using phone for approximately 20 days. I am not a big game lover, so haven't played games on this device but performance wise there phone is excellent. Pros:- Excellent screen size and resolution. Good to read ebooks, watching videos.- Plenty of useful modes such as reading mode, black and white mode, normal and ultra bettery saver mode which can save a lot of battery in case of traveling. - Best performance in normal use like watching YouTube video and Netflix..."
71,5,TerrificThis phone is very good and this mobile proceeseer is very good and performance is very good and mobile gaming experience is very good this mobile display quality is very good and this phone very good for battery backup and this mobile phone is very good for charging timing thank you to flipkart this product delivered for me I give the 5 🌟 on this product
72,5,"Best in the market!The front camera is really really bad. The self image during video calls seems so weird that my iPhone 6s does a far better job. And I bought this phone as a secondary out of frustrating iphone battery and my eventual move to Android.Rest the battery, display , memory and performance is absolutely great. I'm not a gamer at all but I use a hell lot of apps ranging from transportation like Uber to shopping like Flipkart, fitness apps like Strava besides the usuals like Adobe reader, Spotify e..."
73,4,"Good choiceI m  writing this review after using one month of Poco M3. Camera -  is little disappointed coz not having wide angle lense, one camera is 48 mega pixel. Battery - is very good charged in 2 hrs and backup for 2 days. Display - is good Full hd. Touch - is little disappointed. Speaker - is very good & loud, clear, dual speaker. Side fingure print scanner - is not fast just slow action. IR blast - is good working for remote function. Gaming - not for using high gaming."
74,5,"Fabulous!Good product. Best product under this value of cost. Heating is the only issue found when charging and usage while playing games. Otherwise nice product. Battery backup remarkable, 1 day for heavy using and 1³/4 nearly 2 days for moderate using. Camera is some what deserving. I'm using this for one month. You can also prefer Poco M3 if u are satisfied with my knowledge of choice."
75,5,Highly recommendedawesome mobile with smooth performance battery life is wonderful if talk about its sound that is far better than big brands like samsung...overall this mobile is a dhamaal package in budget....go for it guys
76,4,"Value-for-moneyImpressive look, little bit big screen comparatively other models.Camera also nice.Battery backup is good, but while charging it's hot even switch off the internet.Overall in this budget good mobile to buy."
77,4,"Worth the moneyPoco m3 is good smartphone under 13k. If you are a student and buy for study, lectures classes then it is more comfortable smartphone. Battery life is also good. Good camera but brand should be mentioned the brand of camera sensor. Overall lovely performance..."
78,3,"NiceI bought it clearly knowing that it is below par in the processor segment. The laxity is compensated partly with the above average ram and rom for this price level. Battery is also good if ur okay with the medium paced charging, lasts long for an avg user. Camera is horrible.overall a good buy for very specific users."
79,5,"BrilliantThe phone is stunning look with great designThe charging time is little bit highCamera is perfect in day mode and good in night with night mode ,not better in night comparing to daylight.Front camera is fine with 8mp.Display ,sound and touch is amazingIt's better phone in this price segmentMostly i like the unique design"
80,5,"Worth every pennyThis is my first POCO phone. Great device. Awesome display. 6gb big ram. Touch is very good. Nice battery. Normal camera, is not super. But overall, this mobile phone is attractive. I like it. Actually POCO is the Xiaomi's brand. OK."
81,3,"GoodPros:: Display being FHD+ works nice... Battery is also good... Speaker is the main highlight of this phone... Finger print sensor works perfect...Cons:: Camera is not that good but will do the job done... Main cons of this phone is its Sensors, doesn't work nicely...such as auto display brightness doesn't work perfectly which is so annoying... Screen Rotate also doesn't work so nicely...Conclusion :: The phone is absolutely worth its price if you can adjust with the above cons I mentione..."
82,5,"Worth every pennyUsing Poco m3 for the past two months. It's a very good phone at this price range. The stock camera app is not so great. I suggest you to use Google cam, It can produce great results. Camera quality is very good when capturing photos using gcam. Battery will last more than 10hrs screen on time on normal usage. Performance wise also good. Value for money 💰"
83,4,DelightfulAll the features in this phone are  good but then you plug your phone in charging your phone will be heating . But a student without any doubt to buy it. It is very  good for student because in this camera had a document  option to capture clean and clear document.             Thanks poco m3
84,3,"Decent productPOCO M3 is surely worth the money. Considering the price point, the display is good. Battery life is excellent. It can last for an average of 2 days for a normal user. The camera department is ok. The primary cam is fairly good but the edge detection is poor coming to human subjects. Overall, this phone is a good option if you a kind of lite user."
85,5,"Great productDecent phone in this price range, Camara quality is above expections but can't be compared with flagship range, display quality is great but simultaneously not handy due to jumbo screen size, performance is good but not great something faced lags in opening app in 6gb variant. Battery backup is great, 2 day Last easily in normal usage,Overall satisfied, fulfilling the requirement very well.About review is based on one month usage."
86,3,"Does the jobGood product , I bought this product for 10500 , 6 gb ram is there but it doesnt feel I have 6 gb ram inside bit slow on processing , I have samsung M31 which I bought 2 years back , still it clearly outshines this Poco M3 , but definitely worth it for 10k , because good battery , good looks , 6 gb ram at this price range with lot of other features"
87,4,Nice productPhone is running nice. But the processor should be better like Mi phones. Battery life is satisfactory. Camera is good in pro mode. But no front flash for selfie. White screen light is all for selfie. Overall it is a good product.
88,5,"Worth every pennyGood smart phone under this price range. Front camera wasn't that good , too filtery 😀 . Okay with the rear one. Overall...satisfied ."
89,4,"Very GoodSo here is the detailed simplest review pf my experience on poco M3I orderd the powerblack color with variant 6gb, 128GBAnd i feel like this is the best phone on this price range by these specs. 🤟The phone performance is pretty good. There are preinstalled apps which consume storage space. But fortunately we can uninstall it. 😄Camera. I see many reviews saying worst camera experience. But i didnt felt like that. It has a normal decent camera. Which has many options including slowmotion...."
90,5,"Mind-blowing purchaseThis phone is the best budget phone around 10k right now.There are 4 main reasons which make this phone better than the ones available in the same price range. These reasons are :1. 6GB RAM2. Snapdragon 662 Processor3. Full HD Display4. 6000 mAh BatteryYou can check and compare with other phones, all of them won't have the above four things or maybe have only one of the four.So, based on my usage of this device and due to the above reasons, I would recommend everyone looking for a p..."
91,4,Pretty goodGood phone but is not a big gaming phone. Camera is average at this price. Battery also good for Normal use. Charging time is 50% 1h 30m. If you looking to buy for normal use and small game it's good.for ultra gaming is not good. Thank you flipkart for the fastest delivery
92,5,Classy productGood phone considering the price.Camera is OK.Not very bad.You cannot get better than this in this price.Performance wise phone is good.little slower than my last used phone samsung galaxy A50s.However this phone can run lot off applications seamlessly without any lag.You can play games in it but dont expact super smooth experience.Overall it is a good budget friendly phone.
93,4,"Good quality productIf u r thinking to have some good pictures from it then forget that. Otherwise it's is awesome phone , great value for money..."
94,5,Fabulous!It's so nice mobile phone I just love to play game in poco m3 no any disturb no any lag super fast phone with super fast charger
95,5,Classy productMobile was enough to play games like codm and free fire at high graphics and high fps. Good for online classes because it has big battery i would recommend you to buy this phone. Value for Money . it was first poco phone i purchase thank you seller and Flipkart
96,5,Perfect product!It make my life fast and easy i have a phone with 6 gb ram at this price thank you flipkart. Amazing phone in budget.
97,5,"Simply awesomeI have recently purchase this POCO M3 6/64 smartphone from flipkart. The quality is very good, it look and feel very premium in hand. After using this for a week now I can say that it is best value for money. Pros :-Awesome Build qualityExcellent battery lifePerfect CameraHigh performing chipsetCons :-No headphones in the boxThanks to flipkart for super quick delivery of this product at this difficult time. I am very satisfied with service and offers provided by flipkart. flipkart ..."
98,4,DelightfulPhone is good but if camera would be more better than it will be very good. Only i am disappoint with the camera.. but other wise it is amons ter and good product in this price range.
99,5,"AwesomeFelling awesome. Thanks flipkart. I received this mobile for 10k and before 24 hour's deliver, really too good and fully satisfied. Really too much worth mobile. It's is genuine feedback. After using few days, I'm going to give feedback. Concerns: finger print, Mobile weight No rich look. Back up is too worest, they given 64GB storage. Pro's: performance, Camera quality back side just ok. Battery backup more than 48 hours. Finally review is too good, really too worthy mobile."
100,5,"Perfect product!I am not a gamer, so I know nothing about gaming performance. But the performance is so far so good when it comes to battery life. It's definitely a game player at this price with such battery back up. Coming to the cameras, I think they are decent and value for money. There are minor lags and may be it is because of MI's aggressive RAM management. At times, I felt that the touch calibration is not accurate enough. However that may change with the user. And when it comes to heating I haven't ..."
101,4,Really NiceI think it's a good one in it's range. I don't know how it's working coz I've gifted to my cousin. However after a great research I've ordered as 3 of my friends using it from a long...... Thanks to flipkart for ur supercoins.
102,4,"Good choiceI use this phone since 5 days front camera not good after all features best like battery, rear camera very fine"
103,1,Don't waste your moneyAwesome mobile 👌👌👌👌at this price point Storage - 6Gb and 128 Gb awesome 👍👍👍📷Camera - in low light 💡 -- not good at all only 2 starIn full light 💡💡 or outside -- both camera 📷 is decent especially back camera total 3.5 satr 🔋Battery -- awesome easily one day with any type of usage 5 star ⭐ Display - again awesome 5 ⭐⭐starPerformance - amazing 5 star ⭐⭐Over all decent and amazing mobile
104,5,"Best Value for Money Smartphone.Awesome product. I have been using the device for three days; satisfactory camera quality, processing speed is mind blowing, games mostly run at High settings, awesome display, breathtaking stereo sound from the loud built in speakers, good connectivity, no such issues with privacy. Comes with minimum bloatware which could be uninstalled.   Over all  a Value for Money Product. I got it for INR 8,100. According to the price tag and my preferences it is the Best smartphone available."
105,3,"FairIt is okay but a huge improvement should be done basic feauters like call recording is missing... Litlle bit lazy in processing, camera is also not good as compared to mobiles of this price range included both front and rear. Has dual speakers but the second speaker is of no use as it has very low volume level and sometimes while playing audio main speaker collapse and only 2nd top speaker gives audio with a very low volume dont know why it is then we have to restart it"
106,5,"Worth every pennythe phone is very good at this rate  for daily use it is best phone in this rate, about its camera descent quality in this rate , but still some issue . phones battery is monster. its soooo amazing I really love it .  but its charging time it took is too much, but its a big battery so its ok .its good for gaming but about pubg its not much good . gyro didn't work probably its the only problem I face and all the phone is awesome."
107,5,"Highly recommendedMobile is absolutely fantastic and is best to buy if one's budget within 11k, overall performance is good along with a good battery life makes it really worth purchasing."
108,5,Just wow!Bought it for 11.5k including insurance.Battery is awesome. 12 hrs of screen on time Processor is good enough for Multi tasking day to day tasks6 gb ram and ufs 2.2 will make things very smooth actuallyNot much for gaming heavy gamesCamera is decent for this price pointUI is shiitt . Typical MIUI.So using other launcherLooks are really good and build quality is top notch at this price range.Dual speakers are very goodNo heating issues4.5/5 for this price range.Go for it
109,5,Terrific purchaseIn this range we got this phone is really amazing performance and some features are really satisfied thank you flipkart for this awesome product
110,3,"FairI like to flipkart. Am like mobile better than flipkart service. Like delivary, customer care , nd technecian everyone. Thank you to flipkart. I hate mobile camera only. Am very disappointed for that..."
111,5,"Best in the market!I was in the lookout for a good phone for my father and thankfully I came to know about this product through one of my friend. Poco M3 was a good buy.I have to admit, the camera even though its 48megapixel, I'm not sure if it does the job properly as the quality of the image is under par ! The varient that I bought for my dad was the 6gb + 128 gb and I must say this is a very smooth transition for him considering his old phone. The  battery life is awesome, on an average my dad can use hi..."
112,5,"Classy productThe Poco M3 is more than just its premium looks. It offers much more for an affordable price point including excellent battery life, decent performance, 6GB RAM, a crisp FHD+ display, and a stereo speaker setup. It is a great option to consider under 15K, especially for users that are scouring the market for a smartphone not only performs well but also looks great."
113,5,WonderfulI am using this phone from last 7 days and the one thing I notice js battery performance it's excellent I am totally satisfied with the battery. Although I faced lag sometimes due to MIUI 12 and also the camera is not upto the mark there is an camera update needed here but the speaker and display quality is best in segment. 6 GB ram and the looks of this phone is very strong point for buying. As per my experience this is the best phone one can have and everyone should go for it if your budget...
114,5,Simply awesomeOverall the review of the phone is quite good and I want to say that I liked it quite well for that I want to add that the camera must provide a very good performance and after that ok it is good it is best for me because I have paid nearly 12000 rupees and the product is very very greater than worth it
